#,Company Name,Status,Location,Verified,Where to apply,Roles,Job Type,Industry,Remarks
1,[24]7.ai,Hiring,Bengaluru,No,httpswww.linkedin.comj,Principal Member of,Full-Time,Business Software,
2,[x]cube LABS,Hiring,Hyderabad,No,httpswww.linkedin.comj,VP- Sales,Full-Time,IT Infrastructure,
3,1E,Hiring,Noida,No,httpswww.linkedin.comj,Product Manager,Full-Time,Business Software,
4,3i People,Hiring,Remote,No,httpswww.linkedin.comj,Senior Angular 2+.,Full-Time,IT Infrastucture,
5,3Pillar Global,Hiring,Noida,No,httpswww.linkedin.comj,UX Designer,Full-Time,Productivity Software,
6,6sense,Hiring,Pune,Yes,httpswww.linkedin.comj,Interaction Engineer,Full-Time,IT Infrastructure,
7,007 TaskForce,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Android Developer,Full-Time,IT Infrastructure,
8,10XTD,Hiring,Mumbai,No,httpswww.linkedin.comj,Marketing manager ,Internship,Consulting & Services,
9,40K Plus Education Pvt Ltd,Hiring freeze,Bengaluru,,,,,Education,
10,1702 Digital,Hiring,Mumbai,No,httpswww.linkedin.comj,Sr. Content Executive,Full-Time,Marketing & Advertising,
11,1985,Hiring,Bengaluru,No,httpswww.linkedin.comj,Full Stack Developer,Full-Time,IT Infrastructure,
12,A Society India,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior SAP Consulta,Full-Time,IT Infrastucture,
13,A&O IT Group,Hiring,Chennai,No,httpswww.linkedin.comj,Senior Information T,Full-Time,Information Technology,
14,AA Business Consulting,Hiring,Ahmedabad,No,httpswww.linkedin.comj,Business Developm,Full-Time,IT Infrastructure,
15,Aakash Institute,Hiring,Hisar,Yes,httpswww.linkedin.comj,Faculties,Full-Time,Education,
16,ABB,Hiring,Chennai,No,httpswww.linkedin.comj,HR business Partner,Full-Time,Manufacturing,
17,ABC Assignment Help,Hiring,Delhi,No,httpswww.linkedin.comj,Academic Writer,Full-Time,Education Tech,
18,Acceleron Corp,Hiring,Hyderabad,Yes,httpswww.linkedin.comj,Software Engineer,Full-Time,Business Software,
19,Accenture,Hiring,Mumbai,No,httpswww.linkedin.comj,Digital Marketing,Full-Time,Agriculture  Dairy,
20,Accenture in India,Hiring,Mumbai,No,httpswww.linkedin.comj,Digital Marketing-G,Full-Time,IT Infrastucture,
21,Accenture in India,Hiring,Bengaluru,No,httpswww.linkedin.comj,Human Resource op,Full-Time,IT Infrastructure,
22,Accenture Solutions,Hiring,Mumbai,No,httpswww.linkedin.comj,Human Resources,Full-Time,IT Infrastructure,
23,Accern,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Productivity Software,
24,Accolite,Hiring,Bengaluru,No,httpswww.linkedin.comj,Technical Delivery M,Full-Time,IT Infrastructure,
25,Accops Systems Pvt Ltd,Hiring,Pune,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Information Technology,
26,Accruent,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Business Software,
27,Accuity,Hiring freeze,Mumbai,,,,,Financial Services,
28,Accuracy,Hiring,Bengaluru,No,httpswww.linkedin.comj,Product Security En,Full-Time,IT Infrastucture,
29,ACE IT Solutions,Hiring,Chandigarh,Yes,httpswww.linkedin.comj,Junior Cyber Securit,Full-Time,IT Infrastructure,
30,Achievers,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Staff Softwar,Full-Time,Business Software,
31,ACKTRON SECURITY SYSTEM,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Team Leader- verific,Full-Time,Financial Services,
32,ACL Mobile Limited,Hiring,Mumbai,No,httpswww.linkedin.comj,Senior Manager- Sal,Full-Time,Information Technology,
33,Acqueon,Hiring,Chennai,No,httpswww.linkedin.comj,Associate Vice Presi,Full-Time,IT Infrastucture,
34,Acuity IT Solutions Private Li,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,K2 Senior Engineer,Full-Time,IT Infrastructure,
